peak_index,mz,mass_resolution,snr,intensity,base_peak_ratio,fwhm
1,245.1089,22782,49.1,399,0.3,0.0108
2,246.0929,21346,16.2,133,0.1,0.0115
3,246.1139,18480,21.3,174,0.1,0.0133
4,247.124,20799,24.6,202,0.2,0.0119
5,248.9398,23138,42.7,352,0.3,0.0108
6,248.9743,23427,667.2,5510,4.5,0.0106
7,249.9764,19451,19,157,0.1,0.0129
8,250.9408,17247,21.2,176,0.1,0.0146
9,252.0694,14365,16.4,137,0.1,0.0175
10,254.0853,16095,17.6,149,0.1,0.0158
11,254.0943,17498,16.3,137,0.1,0.0145
12,254.933,19798,64.6,548,0.4,0.0129
13,255.0931,14537,19.9,169,0.1,0.0175
14,255.1969,23498,23.5,199,0.2,0.0109
15,255.2334,24209,111,942,0.8,0.0105
16,256.2349,16768,23,196,0.2,0.0153
17,256.9438,16965,17.7,151,0.1,0.0151
18,257.1089,21237,37,315,0.3,0.0121
19,257.2126,25461,54.6,466,0.4,0.0101
20,257.9398,23834,2947.7,25210,20.6,0.0108
21,258.0909,12143,19.4,166,0.1,0.0213
22,258.1136,11771,19.5,167,0.1,0.0219
23,258.9418,20700,43.2,369,0.3,0.0125
24,259.088,12853,18.6,159,0.1,0.0202
25,259.1245,23263,70.1,600,0.5,0.0111
26,259.9368,24397,993.1,8538,7,0.0107
27,260.072,21000,38,326,0.3,0.0124
28,260.1073,18175,22.3,192,0.2,0.0143
29,260.13,17536,27.9,240,0.2,0.0148
30,260.8618,24797,75.1,647,0.5,0.0105
31,261.0712,11739,17.9,154,0.1,0.0222
32,261.1039,16414,25.3,218,0.2,0.0159
33,261.14,24282,159.6,1375,1.1,0.0108
34,262.0675,16352,20.1,173,0.1,0.016
35,262.0875,23114,78.3,676,0.6,0.0113
36,262.1445,20887,41.2,355,0.3,0.0126
37,263.0651,13858,15.6,135,0.1,0.019
38,263.0865,14505,34.2,296,0.2,0.0181
39,263.1191,20237,23.9,207,0.2,0.013
40,263.1556,22892,55.8,483,0.4,0.0115
41,263.9086,24940,22.9,199,0.2,0.0106
42,264.0639,34209,16.8,146,0.1,0.0077
43,264.083,18468,47.7,414,0.3,0.0143
44,265.0788,13932,35.5,309,0.3,0.019
45,265.1004,13584,27.1,236,0.2,0.0195
46,265.147,18709,21.8,190,0.2,0.0142
47,266.0978,21426,51.2,448,0.4,0.0124
